"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","SalesRating","HireSource","Campus"
"271",55,0,"Travel_Rarely",452,"Research & Development",1,3,"Medical",374,4,"Male",81,3,5,"Manager",1,19045,18938,0,"Yes",14,3,3,80,0,37,2,3,36,10,4,13,NA,NA,NA
"272",47,1,"Non-Travel",666,"Research & Development",29,4,"Life Sciences",376,1,"Male",88,3,3,"Manager",2,11849,10268,1,"Yes",12,3,4,80,1,10,2,2,10,7,9,9,NA,NA,NA
"273",28,0,"Travel_Rarely",1158,"Research & Development",9,3,"Medical",377,4,"Male",94,3,1,"Research Scientist",4,2070,2613,1,"No",23,3,4,80,1,5,3,2,5,2,0,4,NA,"Campus","Northern"
"274",37,0,"Travel_Rarely",228,"Sales",6,4,"Medical",378,3,"Male",98,3,2,"Sales Executive",4,6502,22825,4,"No",14,3,2,80,1,7,5,4,5,4,0,1,1.01854691486171,"Applied Online",NA
"275",21,0,"Travel_Rarely",996,"Research & Development",3,2,"Medical",379,4,"Male",100,2,1,"Research Scientist",3,3230,10531,1,"No",17,4,1,80,0,3,4,4,3,2,1,0,NA,"Referral",NA
"276",37,0,"Non-Travel",728,"Research & Development",1,4,"Medical",380,1,"Female",80,3,3,"Research Director",4,13603,11677,2,"Yes",18,4,1,80,2,15,2,3,5,2,0,2,NA,"Referral",NA
"277",35,0,"Travel_Rarely",1315,"Research & Development",22,3,"Life Sciences",381,2,"Female",71,4,3,"Manager",2,11996,19100,7,"No",18,2,2,80,1,10,6,2,7,7,6,2,NA,NA,NA
"278",38,0,"Travel_Rarely",322,"Sales",7,2,"Medical",382,1,"Female",44,4,2,"Sales Executive",1,5605,19191,1,"Yes",24,3,3,80,1,8,3,3,8,0,7,7,0.770947335861781,NA,NA
"279",26,0,"Travel_Frequently",1479,"Research & Development",1,3,"Life Sciences",384,3,"Female",84,3,2,"Manufacturing Director",2,6397,26767,1,"No",20,3,1,80,1,6,6,1,6,5,1,4,NA,"Campus","Northern"
"280",50,0,"Travel_Rarely",797,"Research & Development",4,1,"Life Sciences",385,1,"Male",96,3,5,"Research Director",2,19144,15815,3,"No",14,4,1,80,2,28,4,2,10,4,1,6,NA,NA,NA
"281",53,0,"Travel_Rarely",1070,"Research & Development",3,4,"Medical",386,3,"Male",45,3,4,"Research Director",3,17584,21016,3,"Yes",16,3,4,80,3,21,5,2,5,3,1,3,NA,"Campus","Tech"
"282",42,0,"Travel_Rarely",635,"Sales",1,1,"Life Sciences",387,2,"Male",99,3,2,"Sales Executive",3,4907,24532,1,"No",25,3,3,80,0,20,3,3,20,16,11,6,0.88428559921405,NA,NA
"283",29,0,"Travel_Frequently",442,"Sales",2,2,"Life Sciences",388,2,"Male",44,3,2,"Sales Executive",4,4554,20260,1,"No",18,2,1,80,0,10,3,2,10,7,0,9,1.21984833273571,NA,NA
"284",55,0,"Travel_Rarely",147,"Research & Development",20,2,"Technical Degree",389,2,"Male",37,3,2,"Laboratory Technician",4,5415,15972,3,"Yes",19,4,4,80,1,12,4,3,10,7,0,8,NA,NA,NA
"285",26,0,"Travel_Frequently",496,"Research & Development",11,2,"Medical",390,1,"Male",60,3,2,"Healthcare Representative",1,4741,22722,1,"Yes",13,3,3,80,1,5,3,3,5,3,3,3,NA,"Search Firm",NA
"286",37,0,"Travel_Rarely",1372,"Research & Development",1,3,"Life Sciences",391,4,"Female",42,3,1,"Research Scientist",4,2115,15881,1,"No",12,2,2,80,0,17,3,3,17,12,5,7,NA,NA,NA
"287",44,1,"Travel_Frequently",920,"Research & Development",24,3,"Life Sciences",392,4,"Male",43,3,1,"Laboratory Technician",3,3161,19920,3,"Yes",22,3,4,80,1,19,0,1,1,0,0,0,NA,"Applied Online",NA
"288",38,0,"Travel_Rarely",688,"Research & Development",23,4,"Life Sciences",393,4,"Male",82,3,2,"Healthcare Representative",4,5745,18899,9,"No",14,3,2,80,1,10,2,3,2,2,1,2,NA,"Campus","A&M"
"289",26,1,"Travel_Rarely",1449,"Research & Development",16,4,"Medical",394,1,"Male",45,3,1,"Laboratory Technician",2,2373,14180,2,"Yes",13,3,4,80,1,5,2,3,3,2,0,2,NA,"Referral",NA
"290",28,0,"Travel_Rarely",1117,"Research & Development",8,2,"Life Sciences",395,4,"Female",66,3,1,"Research Scientist",4,3310,4488,1,"No",21,4,4,80,0,5,3,3,5,3,0,2,NA,"Applied Online",NA
"291",49,0,"Travel_Frequently",636,"Research & Development",10,4,"Life Sciences",396,3,"Female",35,3,5,"Research Director",1,18665,25594,9,"Yes",11,3,4,80,0,22,4,3,3,2,1,2,NA,"Applied Online",NA
"292",36,0,"Travel_Rarely",506,"Research & Development",3,3,"Technical Degree",397,3,"Male",30,3,2,"Research Scientist",2,4485,26285,4,"No",12,3,4,80,0,10,2,3,8,0,7,7,NA,NA,NA
"293",31,0,"Travel_Frequently",444,"Sales",5,3,"Marketing",399,4,"Female",84,3,1,"Sales Representative",2,2789,3909,1,"No",11,2,3,80,1,2,5,2,2,2,2,2,1.84043066228914,"Applied Online",NA
"294",26,1,"Travel_Rarely",950,"Sales",4,4,"Marketing",401,4,"Male",48,2,2,"Sales Executive",4,5828,8450,1,"Yes",12,3,2,80,0,8,0,3,8,7,7,4,1.20452009827877,NA,NA
"295",37,0,"Travel_Frequently",889,"Research & Development",9,3,"Medical",403,2,"Male",53,3,1,"Research Scientist",4,2326,11411,1,"Yes",12,3,3,80,3,4,3,2,4,2,1,2,NA,"Referral",NA
"296",42,0,"Travel_Frequently",555,"Sales",26,3,"Marketing",404,3,"Female",77,3,4,"Sales Executive",2,13525,14864,5,"No",14,4,4,80,1,23,2,4,20,4,4,8,0.301921499215398,NA,NA
"297",18,1,"Travel_Rarely",230,"Research & Development",3,3,"Life Sciences",405,3,"Male",54,3,1,"Laboratory Technician",3,1420,25233,1,"No",13,4,3,80,0,0,2,3,0,0,0,0,NA,"Applied Online",NA
"298",35,0,"Travel_Rarely",1232,"Sales",16,3,"Marketing",406,3,"Male",96,3,3,"Sales Executive",2,8020,5100,0,"No",15,2,3,80,2,12,3,2,11,9,6,9,0.317763404103835,NA,NA
"299",36,0,"Travel_Frequently",566,"Research & Development",18,4,"Life Sciences",407,3,"Male",81,4,1,"Laboratory Technician",4,3688,7122,4,"No",18,3,4,80,2,4,2,3,1,0,0,0,NA,"Referral",NA
"300",51,0,"Travel_Rarely",1302,"Research & Development",2,3,"Medical",408,4,"Male",84,1,2,"Manufacturing Director",2,5482,16321,5,"No",18,4,4,80,1,13,3,3,4,1,1,2,NA,"Campus","State"
"301",41,0,"Travel_Rarely",334,"Sales",2,4,"Life Sciences",410,4,"Male",88,3,4,"Manager",2,16015,15896,1,"No",19,4,2,80,0,22,2,3,22,10,0,4,1.89272144322459,NA,NA
"302",18,0,"Travel_Rarely",812,"Sales",10,3,"Medical",411,4,"Female",69,2,1,"Sales Representative",3,1200,9724,1,"No",12,3,1,80,0,0,2,3,0,0,0,0,0.502660185690616,"Campus","Northern"
"303",28,0,"Travel_Rarely",1476,"Research & Development",16,2,"Medical",412,2,"Male",68,4,2,"Healthcare Representative",1,5661,4824,0,"No",19,3,3,80,0,9,2,3,8,3,0,7,NA,NA,NA
"304",31,0,"Travel_Rarely",218,"Sales",7,3,"Technical Degree",416,2,"Male",100,4,2,"Sales Executive",4,6929,12241,4,"No",11,3,2,80,1,10,3,2,8,7,7,7,1.46390475226786,NA,NA
"305",39,0,"Travel_Rarely",1132,"Research & Development",1,3,"Medical",417,3,"Male",48,4,3,"Healthcare Representative",4,9613,10942,0,"No",17,3,1,80,3,19,5,2,18,10,3,7,NA,NA,NA
"306",36,0,"Non-Travel",1105,"Research & Development",24,4,"Life Sciences",419,2,"Female",47,3,2,"Laboratory Technician",2,5674,6927,7,"No",15,3,3,80,1,11,3,3,9,8,0,8,NA,NA,NA
"307",32,0,"Travel_Rarely",906,"Sales",7,3,"Life Sciences",420,4,"Male",91,2,2,"Sales Executive",3,5484,16985,1,"No",14,3,3,80,1,13,3,2,13,8,4,8,0.519997932045373,NA,NA
"308",38,0,"Travel_Rarely",849,"Research & Development",25,2,"Life Sciences",421,1,"Female",81,2,3,"Research Director",2,12061,26707,3,"No",17,3,3,80,1,19,2,3,10,8,0,1,NA,NA,NA
"309",58,0,"Non-Travel",390,"Research & Development",1,4,"Life Sciences",422,4,"Male",32,1,2,"Healthcare Representative",3,5660,17056,2,"Yes",13,2,4,80,1,12,2,3,5,3,1,2,NA,"Applied Online",NA
"310",31,0,"Travel_Rarely",691,"Research & Development",5,4,"Technical Degree",423,3,"Male",86,3,1,"Research Scientist",4,4821,10077,0,"Yes",12,2,3,80,1,6,4,3,5,2,0,3,NA,"Applied Online",NA
"311",31,0,"Travel_Rarely",106,"Human Resources",2,3,"Human Resources",424,1,"Male",62,2,2,"Human Resources",1,6410,17822,3,"No",12,3,4,80,0,9,1,3,2,2,1,0,NA,"Referral",NA
"312",45,0,"Travel_Frequently",1249,"Research & Development",7,3,"Life Sciences",425,1,"Male",97,3,3,"Laboratory Technician",1,5210,20308,1,"No",18,4,1,80,1,24,2,3,24,9,9,11,NA,NA,NA
"313",31,0,"Travel_Rarely",192,"Research & Development",2,4,"Life Sciences",426,3,"Male",32,3,1,"Research Scientist",4,2695,7747,0,"Yes",18,4,2,80,1,3,2,1,2,2,2,2,NA,"Applied Online",NA
"314",33,0,"Travel_Frequently",553,"Research & Development",5,4,"Life Sciences",428,4,"Female",74,3,3,"Manager",2,11878,23364,6,"No",11,3,2,80,2,12,2,3,10,6,8,8,NA,NA,NA
"315",39,0,"Travel_Rarely",117,"Research & Development",10,1,"Medical",429,3,"Male",99,3,4,"Manager",1,17068,5355,1,"Yes",14,3,4,80,0,21,3,3,21,9,11,10,NA,NA,NA
"316",43,0,"Travel_Frequently",185,"Research & Development",10,4,"Life Sciences",430,3,"Female",33,3,1,"Laboratory Technician",4,2455,10675,0,"No",19,4,1,80,0,9,5,3,8,7,1,7,NA,NA,NA
"317",49,0,"Travel_Rarely",1091,"Research & Development",1,2,"Technical Degree",431,3,"Female",90,2,4,"Healthcare Representative",3,13964,17810,7,"Yes",12,4,4,80,0,25,2,3,7,1,0,7,NA,NA,NA
"318",52,1,"Travel_Rarely",723,"Research & Development",8,4,"Medical",433,3,"Male",85,2,2,"Research Scientist",2,4941,17747,2,"No",15,2,1,80,0,11,3,2,8,2,7,7,NA,NA,NA
"319",27,0,"Travel_Rarely",1220,"Research & Development",5,3,"Life Sciences",434,3,"Female",85,3,1,"Research Scientist",2,2478,20938,1,"Yes",12,4,2,80,0,4,2,2,4,3,1,2,NA,"Referral",NA
"320",32,0,"Travel_Rarely",588,"Sales",8,2,"Technical Degree",436,3,"Female",65,2,2,"Sales Executive",2,5228,24624,1,"Yes",11,3,4,80,0,13,2,3,13,12,11,9,0.885799936251428,NA,NA
"321",27,0,"Travel_Rarely",1377,"Sales",2,3,"Life Sciences",437,4,"Male",74,3,2,"Sales Executive",3,4478,5242,1,"Yes",11,4,1,80,0,5,3,3,5,4,0,4,1.19455845531111,"Applied Online",NA
"322",31,0,"Travel_Rarely",691,"Sales",7,3,"Marketing",438,4,"Male",73,3,2,"Sales Executive",4,7547,7143,4,"No",12,3,4,80,3,13,3,3,7,7,1,7,1.32307347527942,NA,NA
"323",32,0,"Travel_Rarely",1018,"Research & Development",2,4,"Medical",439,1,"Female",74,4,2,"Research Scientist",4,5055,10557,7,"No",16,3,3,80,0,10,0,2,7,7,0,7,NA,NA,NA
"324",28,1,"Travel_Rarely",1157,"Research & Development",2,4,"Medical",440,1,"Male",84,1,1,"Research Scientist",4,3464,24737,5,"Yes",13,3,4,80,0,5,4,2,3,2,2,2,NA,"Campus","Tech"
"325",30,0,"Travel_Rarely",1275,"Research & Development",28,2,"Medical",441,4,"Female",64,3,2,"Research Scientist",4,5775,11934,1,"No",13,3,4,80,2,11,2,3,10,8,1,9,NA,NA,NA
"326",31,0,"Travel_Frequently",798,"Research & Development",7,2,"Life Sciences",442,3,"Female",48,2,3,"Manufacturing Director",3,8943,14034,1,"No",24,3,1,80,1,10,2,3,10,9,8,9,NA,NA,NA
"327",39,0,"Travel_Frequently",672,"Research & Development",7,2,"Medical",444,3,"Male",54,2,5,"Manager",4,19272,21141,1,"No",15,3,1,80,1,21,2,3,21,9,13,3,NA,NA,NA
"328",39,1,"Travel_Rarely",1162,"Sales",3,2,"Medical",445,4,"Female",41,3,2,"Sales Executive",3,5238,17778,4,"Yes",18,3,1,80,0,12,3,2,1,0,0,0,1.67109917079297,"Applied Online",NA
"329",33,0,"Travel_Frequently",508,"Sales",10,3,"Marketing",446,2,"Male",46,2,2,"Sales Executive",4,4682,4317,3,"No",14,3,3,80,0,9,6,2,7,7,0,1,1.04895422938269,NA,NA
"330",47,0,"Travel_Rarely",1482,"Research & Development",5,5,"Life Sciences",447,4,"Male",42,3,5,"Research Director",3,18300,16375,4,"No",11,3,2,80,1,21,2,3,3,2,1,1,NA,"Referral",NA
"331",43,0,"Travel_Frequently",559,"Research & Development",10,4,"Life Sciences",448,3,"Female",82,2,2,"Laboratory Technician",3,5257,6227,1,"No",11,3,2,80,1,9,3,4,9,7,0,0,NA,NA,NA
"332",27,0,"Non-Travel",210,"Sales",1,1,"Marketing",449,3,"Male",73,3,2,"Sales Executive",2,6349,22107,0,"Yes",13,3,4,80,1,6,0,3,5,4,1,4,1.35038398349707,"Applied Online",NA
"333",54,0,"Travel_Frequently",928,"Research & Development",20,4,"Life Sciences",450,4,"Female",31,3,2,"Research Scientist",3,4869,16885,3,"No",12,2,4,80,0,20,4,2,4,3,0,3,NA,"Campus","A&M"
"334",43,0,"Travel_Rarely",1001,"Research & Development",7,3,"Life Sciences",451,3,"Female",43,3,3,"Healthcare Representative",1,9985,9262,8,"No",16,2,1,80,1,10,1,2,1,0,0,0,NA,"Campus","Tech"
"335",45,0,"Travel_Rarely",549,"Research & Development",8,4,"Other",452,4,"Male",75,3,2,"Research Scientist",4,3697,9278,9,"No",14,3,1,80,2,12,3,3,10,9,9,8,NA,NA,NA
"336",40,0,"Travel_Rarely",1124,"Sales",1,2,"Medical",453,2,"Male",57,1,2,"Sales Executive",4,7457,13273,2,"Yes",22,3,3,80,3,6,2,2,4,3,0,2,0.825790823008351,"Referral",NA
"337",29,1,"Travel_Rarely",318,"Research & Development",8,4,"Other",454,2,"Male",77,1,1,"Laboratory Technician",1,2119,4759,1,"Yes",11,3,4,80,0,7,4,2,7,7,0,7,NA,NA,NA
"338",29,0,"Travel_Rarely",738,"Research & Development",9,5,"Other",455,2,"Male",30,2,1,"Laboratory Technician",4,3983,7621,0,"No",17,3,3,80,0,4,2,3,3,2,2,2,NA,"Applied Online",NA
"339",30,0,"Travel_Rarely",570,"Sales",5,3,"Marketing",456,4,"Female",30,2,2,"Sales Executive",3,6118,5431,1,"No",13,3,3,80,3,10,2,3,10,9,1,2,2.23274433762379,NA,NA
"340",27,0,"Travel_Rarely",1130,"Sales",8,4,"Marketing",458,2,"Female",56,3,2,"Sales Executive",2,6214,3415,1,"No",18,3,1,80,1,8,3,3,8,7,0,7,0.728991327794557,NA,NA
"341",37,0,"Travel_Rarely",1192,"Research & Development",5,2,"Medical",460,4,"Male",61,3,2,"Manufacturing Director",4,6347,23177,7,"No",16,4,3,80,2,8,2,2,6,2,0,4,NA,"Search Firm",NA
"342",38,0,"Travel_Rarely",343,"Research & Development",15,2,"Life Sciences",461,3,"Male",92,2,3,"Research Director",4,11510,15682,0,"Yes",14,3,2,80,1,12,3,3,11,10,2,9,NA,NA,NA
"343",31,0,"Travel_Rarely",1232,"Research & Development",7,4,"Medical",462,3,"Female",39,3,3,"Manufacturing Director",4,7143,25713,1,"Yes",14,3,3,80,0,11,2,2,11,9,4,10,NA,NA,NA
"344",29,0,"Travel_Rarely",144,"Sales",10,1,"Marketing",463,4,"Female",39,2,2,"Sales Executive",2,8268,11866,1,"Yes",14,3,1,80,2,7,2,3,7,7,1,7,1.62521486162257,NA,NA
"345",35,0,"Travel_Rarely",1296,"Research & Development",5,4,"Technical Degree",464,3,"Male",62,3,3,"Manufacturing Director",2,8095,18264,0,"No",13,2,4,80,0,17,5,3,16,6,0,13,NA,NA,NA
"346",23,0,"Travel_Rarely",1309,"Research & Development",26,1,"Life Sciences",465,3,"Male",83,3,1,"Research Scientist",4,2904,16092,1,"No",12,4,3,80,2,4,2,2,4,2,0,2,NA,"Referral",NA
"347",41,0,"Travel_Rarely",483,"Research & Development",6,3,"Medical",466,4,"Male",95,2,2,"Manufacturing Director",2,6032,10110,6,"Yes",15,3,4,80,0,8,3,3,5,4,1,2,NA,"Applied Online",NA
"348",47,0,"Travel_Frequently",1309,"Sales",4,1,"Medical",467,2,"Male",99,3,2,"Sales Representative",3,2976,25751,3,"No",19,3,1,80,0,5,3,3,0,0,0,0,-0.627667242124615,"Applied Online",NA
"349",42,0,"Travel_Rarely",810,"Research & Development",23,5,"Life Sciences",468,1,"Female",44,3,4,"Research Director",4,15992,15901,2,"No",14,4,2,80,0,16,2,3,1,0,0,0,NA,"Campus","Tech"
"350",29,0,"Non-Travel",746,"Sales",2,3,"Life Sciences",469,4,"Male",61,3,2,"Sales Executive",3,4649,16928,1,"No",14,2,1,80,1,4,3,2,4,3,0,2,1.32700290234098,"Referral",NA
"351",42,0,"Travel_Rarely",544,"Human Resources",2,1,"Technical Degree",470,3,"Male",52,3,1,"Human Resources",3,2696,24017,0,"Yes",11,2,3,80,1,4,5,3,3,2,1,0,NA,"Applied Online",NA
"352",32,0,"Travel_Rarely",1062,"Research & Development",2,3,"Medical",471,3,"Female",75,3,1,"Laboratory Technician",2,2370,3956,1,"No",13,4,3,80,1,8,4,3,8,0,0,7,NA,NA,NA
"353",48,0,"Travel_Rarely",530,"Sales",29,1,"Medical",473,1,"Female",91,3,3,"Manager",3,12504,23978,3,"No",21,2,2,80,1,15,3,1,0,0,0,0,1.10837549020266,"Applied Online",NA
"354",37,0,"Travel_Rarely",1319,"Research & Development",6,3,"Medical",474,3,"Male",51,4,2,"Research Scientist",1,5974,17001,4,"Yes",13,4,1,80,2,13,2,3,7,7,6,7,NA,NA,NA
"355",30,0,"Non-Travel",641,"Sales",25,2,"Technical Degree",475,4,"Female",85,3,2,"Sales Executive",3,4736,6069,7,"Yes",12,4,2,80,1,4,2,4,2,2,2,2,2.19844369277654,"Applied Online",NA
"356",26,0,"Travel_Rarely",933,"Sales",1,3,"Life Sciences",476,3,"Male",57,3,2,"Sales Executive",3,5296,20156,1,"No",17,3,2,80,1,8,3,3,8,7,7,7,0.841712569480345,NA,NA
"357",42,0,"Travel_Rarely",1332,"Research & Development",2,4,"Other",477,1,"Male",98,2,2,"Healthcare Representative",4,6781,17078,3,"No",23,4,2,80,0,14,6,3,1,0,0,0,NA,"Referral",NA
"358",21,1,"Travel_Frequently",756,"Sales",1,1,"Technical Degree",478,1,"Female",99,2,1,"Sales Representative",2,2174,9150,1,"Yes",11,4,3,80,0,3,3,3,3,2,1,2,2.01382767925976,"Applied Online",NA
"359",36,0,"Non-Travel",845,"Sales",1,5,"Medical",479,4,"Female",45,3,2,"Sales Executive",4,6653,15276,4,"No",15,3,2,80,0,7,6,3,1,0,0,0,2.48345870195971,"Referral",NA
"360",36,0,"Travel_Frequently",541,"Sales",3,4,"Medical",481,1,"Male",48,2,3,"Sales Executive",4,9699,7246,4,"No",11,4,1,80,1,16,2,3,13,9,1,12,0.949398001585665,NA,NA
"361",57,0,"Travel_Rarely",593,"Research & Development",1,4,"Medical",482,4,"Male",88,3,2,"Healthcare Representative",3,6755,2967,2,"No",11,4,3,80,0,15,2,3,3,2,1,2,NA,"Applied Online",NA
"362",40,0,"Travel_Rarely",1171,"Research & Development",10,4,"Life Sciences",483,4,"Female",46,4,1,"Laboratory Technician",3,2213,22495,3,"Yes",13,3,3,80,1,10,3,3,7,7,1,7,NA,NA,NA
"363",21,0,"Non-Travel",895,"Sales",9,2,"Medical",484,1,"Male",39,3,1,"Sales Representative",4,2610,2851,1,"No",24,2,3,80,0,3,3,2,3,2,2,2,0.91058532720775,"Applied Online",NA
"364",33,1,"Travel_Rarely",350,"Sales",5,3,"Marketing",485,4,"Female",34,3,1,"Sales Representative",3,2851,9150,1,"Yes",13,2,2,80,0,1,2,3,1,0,0,0,2.05425730302769,"Applied Online",NA
"365",37,0,"Travel_Rarely",921,"Research & Development",10,3,"Medical",486,3,"Female",98,3,1,"Laboratory Technician",1,3452,17663,6,"No",20,2,2,80,1,17,3,3,5,4,0,3,NA,"Campus","State"
"366",46,0,"Non-Travel",1144,"Research & Development",7,4,"Medical",487,3,"Female",30,3,2,"Manufacturing Director",3,5258,16044,2,"No",14,2,3,80,0,7,2,4,1,0,0,0,NA,"Campus","Tech"
"367",41,1,"Travel_Frequently",143,"Sales",4,3,"Marketing",488,1,"Male",56,3,2,"Sales Executive",2,9355,9558,1,"No",18,3,3,80,0,8,5,3,8,7,7,7,1.24447948423894,NA,NA
"368",50,0,"Travel_Rarely",1046,"Research & Development",10,3,"Technical Degree",491,4,"Male",100,2,3,"Healthcare Representative",4,10496,2755,6,"No",15,2,4,80,0,20,2,3,4,3,1,3,NA,"Applied Online",NA
"369",40,1,"Travel_Rarely",575,"Sales",22,2,"Marketing",492,3,"Male",68,2,2,"Sales Executive",3,6380,6110,2,"Yes",12,4,1,80,2,8,6,3,6,4,1,0,3.03033982015156,"Campus","A&M"
"370",31,0,"Travel_Rarely",408,"Research & Development",9,4,"Life Sciences",493,3,"Male",42,2,1,"Research Scientist",2,2657,7551,0,"Yes",16,3,4,80,0,3,5,3,2,2,2,2,NA,"Applied Online",NA
"371",21,1,"Travel_Rarely",156,"Sales",12,3,"Life Sciences",494,3,"Female",90,4,1,"Sales Representative",2,2716,25422,1,"No",15,3,4,80,0,1,0,3,1,0,0,0,1.25893331695714,"Search Firm",NA
"372",29,0,"Travel_Rarely",1283,"Research & Development",23,3,"Life Sciences",495,4,"Male",54,3,1,"Research Scientist",4,2201,18168,9,"No",16,3,4,80,0,6,4,3,3,2,1,2,NA,"Campus","State"
"373",35,0,"Travel_Rarely",755,"Research & Development",9,4,"Life Sciences",496,3,"Male",97,2,2,"Healthcare Representative",2,6540,19394,9,"No",19,3,3,80,0,10,5,3,1,1,0,0,NA,"Campus","Northern"
"374",27,0,"Travel_Rarely",1469,"Research & Development",1,2,"Medical",497,4,"Male",82,3,1,"Laboratory Technician",2,3816,17881,1,"No",11,3,2,80,1,5,2,3,5,2,0,4,NA,"Campus","Northern"
"375",28,0,"Travel_Rarely",304,"Sales",9,4,"Life Sciences",498,2,"Male",92,3,2,"Sales Executive",4,5253,20750,1,"No",16,3,4,80,0,7,1,3,7,5,0,7,1.68130997680888,NA,NA
"376",49,0,"Travel_Rarely",1261,"Research & Development",7,3,"Other",499,2,"Male",31,2,3,"Healthcare Representative",3,10965,12066,8,"No",24,4,3,80,0,26,2,3,5,2,0,0,NA,"Applied Online",NA
"377",51,0,"Travel_Rarely",1178,"Sales",14,2,"Life Sciences",500,3,"Female",87,3,2,"Sales Executive",4,4936,14862,4,"No",11,3,3,80,1,18,2,2,7,7,0,7,0.363328168196521,NA,NA
"378",36,0,"Travel_Rarely",329,"Research & Development",2,3,"Life Sciences",501,4,"Female",96,3,1,"Research Scientist",3,2543,11868,4,"No",13,3,2,80,1,6,3,3,2,2,2,2,NA,"Applied Online",NA
"379",34,1,"Non-Travel",1362,"Sales",19,3,"Marketing",502,1,"Male",67,4,2,"Sales Executive",4,5304,4652,8,"Yes",13,2,2,80,0,9,3,2,5,2,0,4,1.50776725478344,"Applied Online",NA
"380",55,0,"Travel_Rarely",1311,"Research & Development",2,3,"Life Sciences",505,3,"Female",97,3,4,"Manager",4,16659,23258,2,"Yes",13,3,3,80,0,30,2,3,5,4,1,2,NA,"Applied Online",NA
"381",24,0,"Travel_Rarely",1371,"Sales",10,4,"Marketing",507,4,"Female",77,3,2,"Sales Executive",3,4260,5915,1,"Yes",12,3,4,80,1,5,2,4,5,2,0,3,0.700070506545916,"Applied Online",NA
"382",30,0,"Travel_Rarely",202,"Sales",2,1,"Technical Degree",508,3,"Male",72,3,1,"Sales Representative",2,2476,17434,1,"No",18,3,1,80,1,1,3,3,1,0,0,0,-0.19155368522038,"Applied Online",NA
"383",26,1,"Travel_Frequently",575,"Research & Development",3,1,"Technical Degree",510,3,"Male",73,3,1,"Research Scientist",1,3102,6582,0,"No",22,3,3,80,0,7,2,3,6,4,0,4,NA,"Applied Online",NA
"384",22,0,"Travel_Rarely",253,"Research & Development",11,3,"Medical",511,1,"Female",43,3,1,"Research Scientist",2,2244,24440,1,"No",13,3,4,80,1,2,1,3,2,1,1,2,NA,"Campus","A&M"
"385",36,0,"Travel_Rarely",164,"Sales",2,2,"Medical",513,2,"Male",61,2,3,"Sales Executive",3,7596,3809,1,"No",13,2,2,80,2,10,2,3,10,9,9,0,0.77068587713573,NA,NA
"386",30,1,"Travel_Frequently",464,"Research & Development",4,3,"Technical Degree",514,3,"Male",40,3,1,"Research Scientist",4,2285,3427,9,"Yes",23,2,3,80,0,3,4,3,1,0,0,0,NA,"Campus","A&M"
"387",37,0,"Travel_Rarely",1107,"Research & Development",14,3,"Life Sciences",515,4,"Female",95,3,1,"Laboratory Technician",1,3034,26914,1,"No",12,2,3,80,1,18,2,2,18,7,12,17,NA,NA,NA
"388",40,0,"Travel_Rarely",759,"Sales",2,2,"Marketing",516,4,"Female",46,3,2,"Sales Executive",2,5715,22553,7,"No",12,3,3,80,2,8,5,3,5,4,1,3,0.793227355045503,"Referral",NA
"389",42,0,"Travel_Rarely",201,"Research & Development",1,4,"Life Sciences",517,2,"Female",95,3,1,"Laboratory Technician",1,2576,20490,3,"No",16,4,2,80,1,8,5,3,5,2,1,2,NA,"Applied Online",NA
"390",37,0,"Travel_Rarely",1305,"Research & Development",10,4,"Life Sciences",518,3,"Male",49,3,2,"Manufacturing Director",2,4197,21123,2,"Yes",12,3,4,80,0,18,2,2,1,0,0,1,NA,"Applied Online",NA
"391",43,0,"Travel_Rarely",982,"Research & Development",12,3,"Life Sciences",520,1,"Male",59,2,4,"Research Director",2,14336,4345,1,"No",11,3,3,80,1,25,3,3,25,10,3,9,NA,NA,NA
"392",40,0,"Travel_Rarely",555,"Research & Development",2,3,"Medical",521,2,"Female",78,2,2,"Laboratory Technician",3,3448,13436,6,"No",22,3,2,80,1,20,3,3,1,0,0,0,NA,"Campus","State"
"393",54,0,"Travel_Rarely",821,"Research & Development",5,2,"Medical",522,1,"Male",86,3,5,"Research Director",1,19406,8509,4,"No",11,3,3,80,1,24,4,2,4,2,1,2,NA,"Applied Online",NA
"394",34,0,"Non-Travel",1381,"Sales",4,4,"Marketing",523,3,"Female",72,3,2,"Sales Executive",3,6538,12740,9,"No",15,2,1,80,1,6,3,3,3,2,1,2,0.620710626894059,"Applied Online",NA
"395",31,0,"Travel_Rarely",480,"Research & Development",7,2,"Medical",524,2,"Female",31,3,2,"Manufacturing Director",1,4306,4156,1,"No",12,3,2,80,1,13,5,1,13,10,3,12,NA,NA,NA
"396",43,0,"Travel_Frequently",313,"Research & Development",21,3,"Medical",525,4,"Male",61,3,1,"Laboratory Technician",4,2258,15238,7,"No",20,3,1,80,1,8,1,3,3,2,1,2,NA,"Referral",NA
