"role","perf","area","sex","id","age","salary","vol_leave"
"Ind",2,"Other","Female",10758,25.3194786908118,54151.9025071917,1
"Ind",2,"Accounting","Male",10320,23.8495681785476,60756.4695769948,0
"Ind",2,"Accounting","Female",8069,25.1882139795646,51339.4282130534,0
"Ind",2,"Sales","Female",9955,26.079400857502,67953.3401149914,1
"Ind",2,"Marketing","Female",5866,23.3546314716272,52345.573967956,1
"Ind",2,"Marketing","Female",10361,27.2831897069546,57586.5845862178,1
"Ind",2,"Sales","Male",4314,25.859242432581,57317.5247705491,1
"Ind",2,"Accounting","Female",10262,23.6223612453675,60558.5600832549,1
"Ind",2,"Other","Male",4150,27.9352390127734,65190.1926707579,0
"Ind",2,"Other","Male",4514,25.2416414196989,57442.0209735278,1
"Ind",2,"Accounting","Male",5714,24.0017390046669,62818.3984018176,0
"Ind",2,"Other","Female",11053,24.0451076432506,59516.2215282601,1
"Ind",2,"Other","Male",7554,23.4041495115467,59903.8159440847,0
"Ind",2,"Finance","Female",6591,24.4461553505467,52210.1853044116,1
"Ind",2,"Other","Male",6624,24.3593730364884,61309.0038570656,0
"Ind",2,"Accounting","Male",4260,26.4865024098816,63127.8785845596,0
"Ind",2,"Accounting","Female",8084,30.0559352962118,66852.938813833,0
"Ind",2,"Sales","Male",7970,22.4235540935765,61523.0853286931,0
"Ind",2,"Other","Male",4399,33.5418851637023,61209.6586962621,0
"Ind",2,"Marketing","Male",5094,28.5388894759051,61564.3791580131,0
"Ind",2,"Marketing","Male",1451,26.9852686349776,55057.9331402884,0
"Ind",2,"Accounting","Male",10013,24.4243995490984,56970.6000778445,1
"Ind",2,"Accounting","Female",5659,27.9009089439573,53690.2256991598,1
"Ind",2,"Accounting","Female",1531,24.8459494034231,59162.458773316,0
"Ind",2,"Marketing","Female",5646,24.28188462511,71552.6049547641,0
"Ind",2,"Other","Female",1427,23.2852481313993,61351.6052237798,0
"Ind",2,"Accounting","Female",4085,25.7837688965002,56796.9112517009,1
"Ind",3,"Marketing","Female",9050,24.7502176442782,57128.6139779527,0
"Ind",2,"Other","Male",9632,26.6833039388908,61322.8886195326,1
"Ind",2,"Other","Female",6657,22.4290927030596,62394.4174696877,1
"Ind",2,"Accounting","Female",3605,22.9753217511409,59282.5264903408,0
"Ind",2,"Marketing","Female",8200,24.2698808281546,51829.9054517531,0
"Ind",2,"Other","Female",3057,22.8851775851544,58021.9493441154,0
"Ind",2,"Accounting","Female",6400,24.990744544939,56721.0894068223,0
"Ind",2,"Marketing","Female",2737,26.0717130643541,54135.1060618716,0
"Ind",2,"Accounting","Male",6832,27.6580732785224,66155.9762368707,0
"Ind",2,"Accounting","Male",1365,30.6800397954757,58017.4759696667,0
"Ind",2,"Marketing","Female",1282,23.6948390281613,56395.4029787232,1
"Ind",2,"Accounting","Male",5863,25.9335119164846,59766.9625680488,0
"Ind",2,"Accounting","Female",3734,28.194004050602,50228.5880286514,1
"Ind",2,"Sales","Male",8961,26.336906702307,61596.3675119425,0
"Ind",2,"Accounting","Female",3736,28.6370178754772,63316.7517830409,0
"Ind",2,"Accounting","Male",1372,25.8765239891031,53798.1045255302,0
"Ind",2,"Accounting","Male",2467,23.5089377830347,57802.1141393006,0
"Ind",2,"Accounting","Female",5196,23.3240974335344,61164.9301646477,1
"Ind",2,"Accounting","Male",5019,24.9984597588521,62270.1759952514,0
"Ind",2,"Marketing","Male",6944,22.8934408922128,60913.3904367943,0
"Ind",2,"Other","Male",11030,24.9888611853201,57067.4938893612,0
"Ind",2,"Marketing","Female",1657,33.0614223170697,64194.7719263632,0
"Ind",2,"Sales","Male",9823,23.0477886411833,57924.7916181505,1
"Ind",2,"Accounting","Female",8118,22.424866820243,60710.2779337763,1
"Ind",2,"Accounting","Female",9213,25.1190284937952,65236.3466782178,0
"Ind",2,"Other","Female",10443,25.7191199440554,68470.1616244709,0
"Ind",2,"Accounting","Female",9578,25.6239212117524,49671.6987395933,1
"Ind",2,"Accounting","Male",9038,25.7541161589381,53573.1452977311,1
"Ind",2,"Marketing","Female",9317,25.5552334827116,58620.4886597299,1
"Ind",2,"Other","Male",6950,28.0027144067704,54866.9235945633,0
"Ind",2,"Accounting","Female",4886,25.7554345687761,60193.4591681644,0
"Ind",2,"Accounting","Female",9744,26.3325915283586,55743.6737699219,0
"Ind",2,"Accounting","Male",5275,23.7120352779591,60312.4900951563,1
"Ind",2,"Marketing","Female",7136,25.7750860216497,56121.3731557442,1
"Ind",2,"Accounting","Male",3942,30.3481068825478,59766.0720090293,1
"Ind",2,"Sales","Female",10014,23.0597092139302,62226.8588318409,0
"Ind",2,"Accounting","Male",10139,30.3741432807945,62792.7896516128,0
"Ind",2,"Other","Female",1143,23.954633068001,49455.999364791,0
"Ind",2,"Sales","Male",8017,26.8414225906873,56059.9826214725,1
"Ind",2,"Marketing","Male",1497,23.1704584180926,59456.733894308,1
"Ind",2,"Marketing","Female",5686,24.781496877067,67414.4547568184,0
"Ind",2,"Marketing","Female",1557,26.23083770255,63428.0692458293,0
"Ind",2,"Other","Male",1417,28.1390386765873,49533.2538231735,0
"Ind",2,"Accounting","Female",2673,24.0644554506236,57428.1479788391,0
"Ind",2,"Accounting","Female",10326,26.7848611913192,58527.029260299,1
"Ind",2,"Marketing","Male",9885,25.2977223313281,59296.7881123933,0
"Ind",2,"Sales","Male",7573,23.71464905602,60010.7175635657,1
"Ind",2,"Accounting","Male",5778,26.6302988230714,58914.6034090797,0
"Ind",2,"Marketing","Male",8066,23.379291934978,63119.5325006597,0
"Ind",2,"Marketing","Male",8796,23.2767047384162,57515.2157433725,0
"Ind",2,"Accounting","Female",3651,23.8760718394725,67271.6888108991,0
"Ind",2,"Accounting","Male",6875,22.6015733817875,60134.9112175893,0
"Ind",2,"Accounting","Male",5053,24.8654531846147,58285.3079556105,0
"Ind",2,"Other","Female",8409,22.5224961658699,60128.8196111154,0
"Ind",2,"Accounting","Female",10700,24.3086516649231,59953.6263605728,0
"Ind",2,"Marketing","Male",3700,25.0358722327103,61054.7397229031,0
"Ind",2,"Accounting","Female",9244,40.5908460416412,56430.3826435495,1
"Ind",2,"Accounting","Male",11009,24.1334713585432,68582.8881671322,1
"Ind",2,"Other","Male",4591,33.2083254189874,60541.604430237,0
"Ind",2,"Accounting","Female",3781,23.1531648108259,59060.4464730673,0
"Ind",2,"Marketing","Female",4976,24.9073153925709,59504.3340111571,0
"Ind",2,"Marketing","Female",5063,30.9869329123983,57086.3264764877,1
"Ind",2,"Marketing","Female",8623,24.6498764127415,66025.4505265243,0
"Ind",2,"Sales","Male",4639,24.1891388963317,59171.2312142835,1
"Ind",2,"Accounting","Male",3608,31.6087213132704,55187.8966334999,0
"Ind",2,"Accounting","Female",4393,23.5148585215161,53473.5276230495,0
"Ind",2,"Accounting","Male",10170,27.2311575583852,58696.4029733088,0
"Ind",2,"Accounting","Male",4704,24.1698471175051,59902.0462409881,1
"Ind",2,"Accounting","Female",3790,26.3704396021164,62802.4256938784,0
"Ind",2,"Accounting","Male",2560,33.9909285370448,57981.838556225,0
"Ind",2,"Accounting","Male",6445,26.4834783479557,60137.4371737157,0
"Ind",2,"Other","Male",5731,25.5367106744304,60605.8793125251,0
"Ind",2,"Marketing","Male",7726,24.6028738695982,60508.6426555556,0
"Ind",2,"Marketing","Female",3533,22.7045934718357,57494.5013451782,0
"Ind",2,"Other","Male",7399,31.965539624111,59975.5352993408,0
"Ind",2,"Accounting","Male",8719,23.8131608809355,56385.0027518309,0
"Ind",2,"Marketing","Male",4450,23.3503836617021,66590.5316186619,0
"Ind",2,"Accounting","Female",2948,27.2919338843395,55098.253776931,0
"Ind",2,"Accounting","Female",5499,23.89544616949,57768.9773774058,0
"Ind",2,"Accounting","Female",5137,27.7573420951449,64985.5718623468,1
"Ind",2,"Accounting","Female",8175,25.0320446089336,66763.1494427802,0
"Ind",2,"Marketing","Female",8277,25.0039375991189,75372.6116378051,0
"Ind",2,"Accounting","Male",4354,24.0927527539794,54550.8973554355,1
"Ind",2,"Marketing","Male",2635,23.114431387684,57152.9084212127,0
"Ind",2,"Marketing","Male",5552,22.2932022271477,61526.5554551487,0
"Ind",2,"Accounting","Male",10686,28.7059463184246,57889.7486652556,0
"Ind",2,"Marketing","Male",4824,24.827557563952,61873.1063918592,0
"Ind",2,"Accounting","Male",3631,23.5377216073636,61617.4597378098,0
"Ind",2,"Accounting","Female",10370,25.1652063695651,57361.1136257908,1
"Ind",2,"Accounting","Male",10569,23.4654615607208,59053.8340347766,0
"Ind",2,"Finance","Male",7368,24.4256702608564,54119.9002806454,0
"Ind",2,"Accounting","Male",8008,27.5233499813999,64848.5636252849,0
"Ind",2,"Accounting","Female",10374,22.3258582469752,59548.7292329817,1
"Ind",2,"Other","Female",10877,26.5806554911657,58153.1647549329,0
"Ind",2,"Marketing","Male",1552,23.3462748520415,54741.6648424328,0
"Ind",2,"Accounting","Female",3696,25.2315283160155,62125.5310470016,0
"Ind",2,"Marketing","Male",10666,25.932717093296,68624.8071875008,0
"Ind",2,"Marketing","Female",9386,23.9102599798652,57986.7989794141,0
"Ind",2,"Accounting","Male",5829,31.7819061495208,71079.4845903441,0
"Ind",2,"Marketing","Female",7567,24.0838438289392,59661.3848003602,1
"Ind",2,"Sales","Male",7350,27.9212756726548,61713.774255312,0
"Ind",2,"Finance","Male",10655,37.8640381293263,44659.5477935481,1
"Ind",2,"Accounting","Female",7104,26.595543690182,59832.567537747,0
"Ind",2,"Marketing","Female",4227,24.9202471035638,68906.2524533413,0
"Ind",2,"Other","Female",5951,27.5067967064245,59503.7124307799,1
"Ind",2,"Accounting","Male",6200,22.8575311187228,63195.1070493424,0
"Ind",2,"Marketing","Male",4844,24.0712763554311,63523.5752574997,0
"Ind",2,"Accounting","Female",7109,26.5222533183813,61635.086342768,0
"Ind",2,"Other","Female",9229,24.3550453360464,58180.0136878912,0
"Ind",2,"Accounting","Female",8728,29.0256174787736,70555.0300829867,0
"Ind",2,"Accounting","Female",10714,28.977292286886,59328.2690449473,0
"Ind",2,"Accounting","Male",9444,27.9566207422885,63292.5405930723,0
"Ind",2,"Accounting","Female",3834,24.6100587130655,58212.1382013332,0
"Ind",2,"Accounting","Female",8085,22.5467108077145,58403.4981893422,0
"Ind",2,"Marketing","Male",9953,22.8214273920381,58575.8521229196,0
"Ind",2,"Accounting","Female",2745,25.266747738682,67257.5740084269,0
"Ind",2,"Accounting","Female",6510,25.6848946598788,59477.0996347955,1
"Ind",2,"Marketing","Female",3232,26.3156112639779,52124.7621712651,1
"Ind",2,"Accounting","Male",4390,25.0278693720462,56867.8456441441,1
"Ind",2,"Accounting","Female",3112,25.0364190579891,60188.8216989467,1
"Ind",2,"Accounting","Female",9308,25.7677062271054,54084.8231874994,0
"Ind",2,"Accounting","Female",9310,27.3064585360237,62333.905042851,0
"Ind",2,"Marketing","Female",7225,25.2596100946893,67493.0986480884,0
"Ind",2,"Marketing","Male",4861,22.3866135722804,57874.1116354006,0
"Ind",2,"Marketing","Male",8142,25.5530158269743,58664.8242069301,1
"Ind",2,"Accounting","Female",4940,28.0756455372698,56592.048082111,1
"Ind",2,"Other","Male",8222,30.5974828002781,61697.3131222076,1
"Ind",2,"Other","Male",7453,29.1558235152417,64143.9464241569,0
"Ind",2,"Marketing","Female",2857,25.0401238360234,53907.5185445304,0
"Ind",2,"Accounting","Male",9140,25.7400710389446,59472.1253849653,0
"Ind",2,"Accounting","Male",7681,30.2129230548027,67798.0338695652,0
"Ind",2,"Accounting","Male",7683,26.214945683431,54183.6723378322,1
"Ind",2,"Sales","Female",8656,26.9499848374222,61671.5534497896,0
"Ind",2,"Accounting","Male",4041,24.4581429283954,59380.3359366043,0
"Ind",2,"Sales","Male",9285,30.1888315740963,64538.049128394,0
"Ind",2,"Accounting","Male",3678,28.0144336864263,74052.695036503,0
"Ind",2,"Marketing","Female",9061,27.7298168646091,50082.0881142085,1
"Ind",2,"Accounting","Female",8596,26.7172778957315,63098.5075596806,0
"Ind",2,"Accounting","Male",4774,27.0309318596385,63165.6426311313,0
"Ind",2,"Sales","Male",7752,24.8537560906952,63766.6343976089,0
"Ind",2,"Accounting","Male",9915,30.86637053054,62300.4814831839,0
"Ind",2,"Accounting","Male",2592,29.9841041476153,59510.2244361978,0
"Ind",2,"Accounting","Male",5143,26.2245117154125,64993.2585207047,0
"Ind",3,"Sales","Female",9150,24.2256641288903,55047.9445823625,1
"Ind",2,"Accounting","Male",4779,24.1295711293854,52188.0270349683,1
"Ind",2,"Accounting","Male",2351,22.888584589046,53520.7899647735,0
"Ind",3,"Finance","Female",3595,29.1923795513516,60411.3026144895,0
"Ind",2,"Marketing","Male",4885,24.1830594562237,56729.5418241058,0
"Ind",2,"Accounting","Male",8305,27.4274537831627,54677.9118003413,0
"Ind",2,"Accounting","Male",11019,24.3185213753443,63096.7365337438,0
"Ind",2,"Accounting","Male",7054,29.5294783107636,56181.3951853142,0
"Ind",2,"Accounting","Female",2496,31.6002091443401,60163.3111217957,1
"Ind",2,"Accounting","Male",4950,34.403334807232,56999.5658969919,0
"Ind",2,"Accounting","Female",10596,28.9302338936309,54645.6500431889,0
"Ind",2,"Other","Male",3511,23.1015132215191,68862.6516779083,1
"Ind",2,"Other","Female",2803,34.6426337788855,71212.2303347794,0
"Ind",2,"Accounting","Female",5091,26.8602871982306,52913.5911922527,0
"Ind",2,"Marketing","Male",10298,29.7613323893248,62165.5501571797,0
"Ind",2,"Accounting","Male",4429,24.4834161987864,60683.606036847,0
"Ind",2,"Sales","Male",5223,23.9755314501387,55667.0184128312,0
"Ind",2,"Marketing","Male",1618,25.7239386570497,57507.5254044428,0
"Ind",2,"Marketing","Female",4589,28.2253666193781,61834.1808494254,0
"Ind",2,"Marketing","Female",2408,22.1214697606061,58344.350358655,1
"Ind",2,"Accounting","Male",4071,22.9953540889853,60689.4856450989,1
"Ind",2,"Accounting","Male",4072,25.4291299090808,58652.3418349189,1
"Ind",2,"Sales","Female",8199,34.255842842597,60637.6250201789,0
"Ind",2,"Accounting","Female",7532,24.3894721650909,58908.4736689128,0
"Ind",2,"Marketing","Male",1625,24.5240680292251,53765.1698549012,1
"Ind",2,"Marketing","Male",1626,25.8179411249408,56336.3297149073,0
"Ind",2,"Accounting","Female",8264,27.5059984406671,65128.0792870447,0
"Ind",2,"Other","Female",3256,24.5863949585128,68692.0507529984,0
"Ind",2,"Other","Male",5671,23.5551358461798,59460.2955395715,0
"Ind",2,"Sales","Female",3228,29.2212888652888,64196.9439209102,1
"Ind",2,"Sales","Male",5755,23.8339643197372,53628.8327031979,0
"Ind",2,"Accounting","Male",10275,22.9378691576317,65211.1063224323,0
"Ind",2,"Marketing","Male",10745,29.0743534817095,58693.3983911876,0
"Ind",2,"Accounting","Female",6325,36.0671543666828,58291.2049545809,0
"Ind",2,"Finance","Female",9942,23.8419626574729,66663.1927677008,1
"Ind",2,"Other","Male",2492,35.4144461450923,68538.9759048331,0
"Ind",3,"Other","Male",7047,25.7923994990498,52521.5137957835,0
"Ind",2,"Other","Male",7385,29.1712655000898,63076.5305323152,0
"Ind",2,"Accounting","Male",8098,28.0872140916157,59069.6817949207,0
"Ind",2,"Accounting","Male",8126,25.2942063179169,66916.7726772382,0
"Ind",2,"Marketing","Male",10387,25.8526672845651,55841.0936575049,0
"Ind",2,"Sales","Female",5479,25.47816700588,59558.4530775377,1
"Ind",2,"Accounting","Male",5186,24.1535029988794,59280.8455244824,0
"Ind",2,"Other","Male",7553,27.5021580195052,60172.7707485907,0
"Ind",2,"Accounting","Male",6160,22.7697658601996,58513.0613754892,0
"Ind",2,"Sales","Male",10851,30.0376216418573,56116.2946414195,0
"Ind",2,"Other","Female",9067,28.4065837407068,60208.0213011538,0
"Ind",2,"Sales","Female",7753,22.5052735794562,60657.462307885,0
"Ind",2,"Other","Male",6921,25.1892801551746,66030.786633066,0
"Ind",2,"Accounting","Female",2861,26.5709020945745,69037.688904206,1
"Ind",2,"Other","Male",4656,24.1728788786288,50261.5865861834,0
"Ind",2,"Sales","Male",10359,26.8663906817679,58882.8697244441,1
"Ind",2,"Other","Male",8598,24.6499636773791,58946.1853752904,0
"Ind",2,"Accounting","Male",10607,29.0789785200237,54561.2603974406,0
"Ind",2,"Other","Female",10859,22.5818787201179,70487.873303244,0
"Ind",2,"Accounting","Female",6470,23.0806210498472,63544.8050433086,0
"Ind",2,"Marketing","Female",8395,23.6463944547857,71180.2798946409,0
"Ind",2,"Marketing","Female",2201,25.3133947539188,65696.5028646979,0
"Ind",2,"Accounting","Male",6052,23.691479256499,72688.4190558541,0
"Ind",2,"Accounting","Male",8614,29.522658320193,56284.6918657627,0
"Ind",2,"Accounting","Female",8298,23.6246635455493,51635.9619292692,1
"Ind",2,"Accounting","Male",9579,26.6115843016325,60237.38050927,0
"Ind",2,"Other","Female",10217,23.9106363250367,61997.7596865065,0
"Ind",2,"Accounting","Female",8301,27.2352969358293,56524.9212276928,1
"Ind",2,"Marketing","Female",8040,22.7970580596979,61473.2332976665,0
"Ind",2,"Accounting","Female",5509,24.178840985695,63435.8389618944,1
"Ind",2,"Accounting","Male",2660,22.7784354947788,65500.8302278457,0
"Ind",2,"Marketing","Female",2575,26.9479644722267,51302.9408760498,1
"Ind",2,"Accounting","Female",7940,23.7361786574905,62458.8204815931,0
"Ind",2,"Accounting","Male",2905,23.9166574165095,68727.4159463625,0
"Ind",2,"Marketing","Male",6639,23.602205426875,68194.6583270807,0
"Ind",2,"Accounting","Male",3028,23.0587402489086,65290.484386027,0
"Ind",2,"Marketing","Female",1123,29.5310648270475,60767.7960965182,0
"Ind",2,"Accounting","Male",8425,22.5581036563696,53152.4582736263,0
"Ind",2,"Marketing","Female",8778,25.0774680126907,53332.3582362327,1
"Ind",2,"Other","Female",1390,23.6706349580555,64579.8829536835,1
"Ind",2,"Marketing","Female",6108,22.9223512934721,59650.3594675537,1
"Ind",2,"Accounting","Female",5520,29.7055165725369,63691.369672805,0
"Ind",2,"Sales","Female",8904,26.3667079309213,50181.3961023516,1
"Ind",2,"Marketing","Female",3317,28.584027509897,59493.3170664232,0
"Ind",2,"Accounting","Female",5766,22.9939848611481,55385.2762240274,1
"Ind",2,"Accounting","Male",1581,23.3228282419075,58041.8445521466,1
"Ind",2,"Accounting","Male",2797,25.9714148084355,64124.9906554112,0
"Ind",2,"Accounting","Male",4134,26.7457444399876,61530.5421399286,0
"Ind",2,"Accounting","Male",6079,24.0748587696792,58624.9644308135,0
"Ind",2,"Accounting","Female",4678,23.0296998167181,63108.6667570968,0
"Ind",2,"Finance","Male",4954,23.6045760485724,55778.9111300463,1
"Ind",2,"Other","Female",7283,23.1996904055709,60757.2014813598,0
"Ind",2,"Accounting","Male",4622,23.9374967016748,57744.0443029428,0
"Ind",2,"Other","Male",10911,27.2830025826397,66524.5499008876,0
"Ind",2,"Accounting","Male",3978,23.5686886518506,58467.2426051415,0
"Ind",2,"Sales","Female",5858,29.8398396858511,63902.7984954154,0
"Ind",2,"Sales","Female",2953,25.692604036755,64733.9890389092,1
"Ind",2,"Accounting","Female",6509,25.9643437280068,63273.3381391462,0
"Ind",2,"Sales","Male",9697,27.8266912820735,53369.7011015343,0
"Ind",2,"Other","Female",10537,23.8187181983401,59598.2474662368,0
"Ind",2,"Sales","Female",4056,27.2530799176559,63999.9058319253,1
"Ind",2,"Other","Male",7081,22.8980373659792,65595.2442714425,0
"Ind",2,"Marketing","Female",8437,28.5022897706621,61267.4948169688,1
"Ind",2,"Accounting","Female",8337,23.7244819285579,66358.5493269111,0
"Ind",2,"Sales","Male",5366,28.3077465967138,61668.7185411222,0
"Ind",2,"Sales","Female",9237,22.897820065243,57146.8588599278,1
"Ind",2,"Sales","Female",2782,26.6518121016336,66918.7715618338,0
"Ind",2,"Accounting","Female",7975,24.2160060640899,53370.2613036436,1
"Ind",2,"Sales","Female",10642,25.550418581176,51473.7440130821,1
"Ind",2,"Accounting","Female",2753,26.9187942717752,65344.9384916384,1
"Ind",2,"Accounting","Female",9314,24.3828380379675,58146.7108197324,0
"Ind",2,"Sales","Female",4970,25.12174636574,64749.698312235,1
"Ind",2,"Sales","Male",4812,22.4807400736725,62737.280101559,0
"Ind",3,"Other","Female",2988,24.78755280579,63692.5874697015,0
"Ind",3,"Marketing","Male",9365,24.2128704209796,63209.0357940899,0
"Ind",2,"Sales","Female",9466,27.1934615072518,55626.2804874087,1
"Ind",2,"Accounting","Female",2642,27.5870474470013,69668.5269199421,0
"Ind",2,"Marketing","Male",9367,29.019768182711,50374.5786242046,0
"Ind",2,"Marketing","Male",7182,25.6379831092232,57883.7270171975,0
"Ind",2,"Accounting","Male",1250,24.4829752675546,55062.9463139323,1
"Ind",2,"Accounting","Female",3981,22.7171908677127,62334.6206251089,0
"Ind",2,"Accounting","Female",1795,27.1181881961317,56950.1569314288,0
"Ind",2,"Accounting","Female",2890,26.6804101064385,52344.1000663394,0
"Ind",2,"Accounting","Male",7085,23.5156479475046,61918.1423296336,0
"Ind",2,"Accounting","Male",4171,27.2104731801851,63102.1142709156,0
"Ind",2,"Marketing","Female",1175,26.991386758705,64111.0539173686,0
"Ind",2,"Marketing","Male",1602,23.6563588412559,52454.2691066282,0
"Ind",2,"Marketing","Female",5182,23.293871038338,72267.8968318107,0
"Ind",2,"Sales","Male",3876,25.9618409108426,64787.4014079133,0
"Ind",2,"Marketing","Male",7192,26.961351242343,71131.9444574964,0
"Ind",2,"Accounting","Female",8159,25.9576243653546,53675.2133704665,0
"Ind",2,"Marketing","Male",3551,23.7429972175441,57654.5450570401,0
"Ind",2,"Marketing","Female",2516,24.9109066766036,59680.9812835244,0
"Ind",2,"Accounting","Female",4073,26.783756060741,52670.1973767855,0
"Ind",2,"Sales","Female",7327,29.5196696236535,63173.0846847697,1
"Ind",2,"Marketing","Male",10479,23.3838377572359,57731.2540657615,0
"Ind",2,"Accounting","Female",10557,25.8650760463272,62019.3727773115,0
"Ind",2,"Accounting","Male",3819,23.5849277300432,57545.5591375553,0
"Ind",2,"Accounting","Male",3213,26.6955115277488,56385.5046627018,0
"Ind",2,"Marketing","Male",7202,24.7058539534295,51303.9809340677,0
"Ind",2,"Accounting","Female",9102,25.1042806840124,70373.9618513048,1
"Ind",2,"Sales","Female",1718,26.6443132426578,63130.5412474964,1
"Ind",2,"Marketing","Female",7384,28.7252589010391,58587.6837494464,0
"Ind",2,"Accounting","Female",10928,28.0026363069205,56736.7366715397,0
"Ind",2,"Marketing","Female",4106,30.2739869416821,54149.284121878,0
"Ind",2,"Accounting","Male",7108,25.5970979971212,55396.2165410942,0
"Ind",2,"Accounting","Male",10389,22.4570945805635,65533.084025965,0
"Ind",2,"Accounting","Male",7231,24.7869082737732,58999.9303264883,0
"Ind",2,"Sales","Male",8982,28.5330939317006,65500.5039605822,0
"Ind",2,"Accounting","Male",8932,24.6667966784395,67000.2755682569,0
"Ind",2,"Sales","Female",3729,24.9995796857065,45858.5364001814,1
"Ind",2,"Accounting","Female",10693,25.6180421191162,70045.6898612325,0
"Ind",2,"Accounting","Female",5836,24.7902961140314,56623.7840340073,1
"Ind",2,"Accounting","Female",1828,35.3877077585634,57111.0557350167,0
"Ind",2,"Accounting","Female",9116,23.1581683116839,69523.8036215167,1
"Ind",2,"Sales","Female",8330,28.0397359170506,61082.9111891593,1
"Ind",2,"Sales","Female",7175,26.7873805532036,59832.9434751985,0
"Ind",2,"Accounting","Male",5296,23.4625172824554,66500.4024732749,0
"Ind",2,"Sales","Male",9129,25.6743625913095,56859.1758321847,1
"Ind",2,"Marketing","Female",8494,23.167235677999,52613.7792412817,1
"Ind",2,"Sales","Female",7728,25.6675459213963,57915.3965283729,1
"Ind",2,"Marketing","Female",9589,23.7592132285087,64173.6231012957,0
"Ind",2,"Accounting","Female",8396,26.2345250396728,57549.7940747228,0
"Ind",2,"Marketing","Female",8497,28.3759902244897,66107.1034106788,1
"Ind",2,"Sales","Male",6499,24.8450897175946,65916.8452656753,1
"Ind",2,"Accounting","Female",4027,28.0854445210819,60968.1540206476,1
"Ind",2,"Accounting","Male",1662,23.9949022608579,53691.6424976983,0
"Ind",2,"Marketing","Female",10690,23.825925068384,62808.6345368179,0
"Ind",2,"Marketing","Female",3162,26.5539872895019,62615.404142424,0
"Ind",2,"Other","Female",10423,30.7779054139832,57773.1943399003,0
"Ind",2,"Accounting","Male",7900,23.9788922540929,64876.9909878062,0
"Ind",2,"Accounting","Female",2653,28.2441427042841,61022.2074038971,0
"Ind",2,"Marketing","Female",9600,27.6557042513676,57610.3535104642,0
"Ind",2,"Accounting","Male",5795,25.8114483186249,62794.068537656,0
"Ind",2,"Accounting","Female",9254,27.5866986965133,61701.3493046086,1
"Ind",2,"Sales","Female",10578,28.983433142567,56845.8056179779,1
"Ind",2,"Accounting","Female",10961,24.2650759577672,50293.2896111983,0
"Ind",2,"Accounting","Female",7318,23.1276171919662,53462.1514301971,1
"Ind",2,"Sales","Male",2628,27.0750001075117,57361.1853152762,0
"Ind",2,"Other","Male",3923,23.4544622649225,54449.8601047798,0
"Ind",2,"Accounting","Male",4590,25.5051939753857,66945.6178606087,0
"Ind",2,"Sales","Male",6758,26.5234605606803,62994.208298192,1
"Ind",2,"Sales","Female",2688,23.0049247593727,60153.672952882,0
"Ind",2,"Accounting","Female",4407,25.4308629536195,55459.6728474919,1
"Ind",2,"Accounting","Male",10426,23.6772008414194,63893.0660167233,0
"Ind",2,"Marketing","Male",6155,27.2587809128454,56377.6755717574,0
"Ind",2,"Accounting","Male",6297,28.6156577357935,57923.3379962734,0
"Ind",2,"Marketing","Male",2878,25.423685279405,64535.6429320725,0
"Ind",3,"Other","Male",3158,22.5184047578801,63428.4369997285,0
"Ind",2,"Marketing","Female",5609,29.1330883201338,59266.1944096964,1
"Ind",2,"Accounting","Female",11096,23.4496329262907,51202.3232098172,0
"Ind",2,"Accounting","Male",6789,23.0815424098009,64524.7167367531,1
"Ind",2,"Marketing","Female",8527,25.0369455829138,60387.9491246637,0
"Ind",2,"Sales","Female",11041,29.8754044235605,65431.2693412757,1
"Ind",2,"Sales","Male",10864,29.1964819653688,62799.70662645,0
"Ind",2,"Marketing","Female",9623,27.1277799218408,59046.1439809344,0
"Ind",2,"Accounting","Female",1141,24.4307460639921,57720.0481205788,1
"Ind",2,"Sales","Female",5457,24.7675771747167,64187.2607310236,0
"Ind",2,"Accounting","Male",8618,23.2939206632296,57695.9798540058,0
"Ind",2,"Accounting","Female",7340,22.9659636477073,57365.4784838398,1
"Ind",2,"Accounting","Female",9040,26.4527242065105,57757.7302452831,0
"Ind",2,"Other","Female",6268,23.322427177781,62577.4745535729,0
"Ind",2,"Accounting","Female",1633,24.5080153294118,60423.9707377268,1
"Ind",2,"Marketing","Male",5080,24.6309971691481,58655.9854761351,1
"Ind",2,"Accounting","Female",10989,26.7500331285408,62265.6059548944,0
"Ind",2,"Accounting","Female",4066,25.4611820318128,63630.6437688561,0
"Ind",2,"Marketing","Female",2954,25.6292224096926,68096.0589262918,0
"Ind",2,"Marketing","Male",11035,24.7788389846409,53688.9795353935,0
"Ind",2,"Accounting","Female",2976,28.4250167153092,68641.534901179,0
"Ind",2,"Marketing","Female",11100,26.830880852136,63478.1984870101,1
"Ind",2,"Sales","Male",3227,25.5277256386706,55652.0826112843,1
"Ind",2,"Accounting","Male",1663,26.3938631453422,67335.7936903577,0
"Ind",2,"Finance","Female",7804,25.6834604782702,58005.8504292828,0
"Ind",2,"Accounting","Male",4016,23.1006073390304,59220.2969579944,0
"Ind",2,"Marketing","Male",3998,24.9188560823768,60821.5270958334,0
"Ind",2,"Sales","Female",9567,24.3549719655039,62007.2573397615,1
"Ind",2,"Accounting","Male",7419,26.2336436855566,55700.5334626476,0
"Ind",2,"Marketing","Male",1814,30.8368236012657,73229.6527329708,0
