"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","SalesRating","RandNum","HireSource"
"401",39,0,"Travel_Frequently",1218,"Research & Development",1,1,"Life Sciences",531,2,"Male",52,3,5,"Manager",3,19197,8213,1,"Yes",14,3,3,80,1,21,3,3,21,8,1,6,NA,NA,NA
"402",56,0,"Travel_Frequently",906,"Sales",6,3,"Life Sciences",532,3,"Female",86,4,4,"Sales Executive",1,13212,18256,9,"No",11,4,4,80,3,36,0,2,7,7,7,7,1.22821083156286,NA,NA
"403",30,0,"Travel_Rarely",1082,"Sales",12,3,"Technical Degree",533,2,"Female",83,3,2,"Sales Executive",3,6577,19558,0,"No",11,4,2,80,0,6,6,3,5,4,4,4,2.0570383706678,0.0435984078794718,"Applied Online"
"404",41,0,"Travel_Rarely",645,"Sales",1,3,"Marketing",534,2,"Male",49,4,3,"Sales Executive",1,8392,19566,1,"No",16,3,3,80,1,10,2,3,10,7,0,7,0.844923781095953,NA,NA
"405",28,0,"Travel_Rarely",1300,"Research & Development",17,2,"Medical",536,3,"Male",79,3,2,"Laboratory Technician",1,4558,13535,1,"No",12,2,4,80,1,10,2,3,10,0,1,8,NA,NA,NA
"406",25,1,"Travel_Rarely",688,"Research & Development",3,3,"Medical",538,1,"Male",91,3,1,"Laboratory Technician",1,4031,9396,5,"No",13,2,3,80,1,6,5,3,2,2,0,2,NA,0.338873595697805,"Applied Online"
"407",52,0,"Travel_Rarely",319,"Research & Development",3,3,"Medical",543,4,"Male",39,2,3,"Manufacturing Director",3,7969,19609,2,"Yes",14,2,3,80,0,28,4,3,5,4,0,4,NA,0.75897696102038,"Campus"
"408",45,0,"Travel_Rarely",192,"Research & Development",10,2,"Life Sciences",544,1,"Male",69,3,1,"Research Scientist",4,2654,9655,3,"No",21,2,4,80,2,8,3,2,2,2,0,2,NA,0.122880471637473,"Applied Online"
"409",52,0,"Travel_Rarely",1490,"Research & Development",4,2,"Life Sciences",546,4,"Female",30,3,4,"Manager",4,16555,10310,2,"No",13,4,4,80,0,31,2,1,5,2,1,4,NA,0.647051756968722,"Campus"
"410",42,0,"Travel_Frequently",532,"Research & Development",29,2,"Life Sciences",547,1,"Female",92,3,2,"Research Scientist",3,4556,12932,2,"No",11,3,2,80,1,19,3,3,5,4,0,2,NA,0.518049706006423,"Campus"
"411",30,0,"Travel_Rarely",317,"Research & Development",2,3,"Life Sciences",548,3,"Female",43,1,2,"Manufacturing Director",4,6091,24793,2,"No",20,3,3,80,0,11,2,3,5,4,0,2,NA,0.992341966833919,"Referral"
"412",60,0,"Travel_Rarely",422,"Research & Development",7,3,"Life Sciences",549,1,"Female",41,3,5,"Manager",1,19566,3854,5,"No",11,3,4,80,0,33,5,1,29,8,11,10,NA,NA,NA
"413",46,0,"Travel_Rarely",1485,"Research & Development",18,3,"Medical",550,3,"Female",87,3,2,"Manufacturing Director",3,4810,26314,2,"No",14,3,3,80,1,19,5,2,10,7,0,8,NA,NA,NA
"414",42,0,"Travel_Frequently",1368,"Research & Development",28,4,"Technical Degree",551,4,"Female",88,2,2,"Healthcare Representative",4,4523,4386,0,"No",11,4,4,80,3,7,4,4,6,5,0,4,NA,0.457183214137331,"Referral"
"415",24,1,"Travel_Rarely",1448,"Sales",1,1,"Technical Degree",554,1,"Female",62,3,1,"Sales Representative",2,3202,21972,1,"Yes",16,4,2,80,0,6,4,3,5,3,1,4,0.0354662353335042,0.265298781450838,"Applied Online"
"416",34,1,"Travel_Frequently",296,"Sales",6,2,"Marketing",555,4,"Female",33,1,1,"Sales Representative",3,2351,12253,0,"No",16,1,4,80,1,3,3,2,2,2,1,0,2.52018037613213,0.47688927478157,"Referral"
"417",38,0,"Travel_Frequently",1490,"Research & Development",2,2,"Life Sciences",556,4,"Male",42,3,1,"Laboratory Technician",4,1702,12106,1,"Yes",23,2,3,80,1,1,3,3,1,0,0,0,NA,0.334415380610153,"Applied Online"
"418",40,0,"Travel_Rarely",1398,"Sales",2,4,"Life Sciences",558,3,"Female",79,3,5,"Manager",3,18041,13022,0,"No",14,3,4,80,0,21,2,3,20,15,1,12,0.185892116763667,NA,NA
"419",26,0,"Travel_Rarely",1349,"Research & Development",23,3,"Life Sciences",560,1,"Female",90,3,1,"Research Scientist",4,2886,3032,1,"No",22,3,2,80,2,3,3,1,3,2,0,2,NA,0.987911072093993,"Referral"
"420",30,0,"Non-Travel",1400,"Research & Development",3,3,"Life Sciences",562,3,"Male",53,3,1,"Laboratory Technician",4,2097,16734,4,"No",15,2,3,80,1,9,3,1,5,3,1,4,NA,0.875735608162358,"Campus"
"421",29,0,"Travel_Rarely",986,"Research & Development",3,4,"Medical",564,2,"Male",93,2,3,"Research Director",3,11935,21526,1,"No",18,3,3,80,0,10,2,3,10,2,0,7,NA,NA,NA
"422",29,1,"Travel_Rarely",408,"Research & Development",25,5,"Technical Degree",565,3,"Female",71,2,1,"Research Scientist",2,2546,18300,5,"No",16,4,2,80,0,6,2,4,2,2,1,1,NA,0.956899401731789,"Referral"
"423",19,1,"Travel_Rarely",489,"Human Resources",2,2,"Technical Degree",566,1,"Male",52,2,1,"Human Resources",4,2564,18437,1,"No",12,3,3,80,0,1,3,4,1,0,0,0,NA,0.449371560709551,"Referral"
"424",30,0,"Non-Travel",1398,"Sales",22,4,"Other",567,3,"Female",69,3,3,"Sales Executive",1,8412,2890,0,"No",11,3,3,80,0,10,3,3,9,8,7,8,0.339706837055953,NA,NA
"425",57,0,"Travel_Rarely",210,"Sales",29,3,"Marketing",568,1,"Male",56,2,4,"Manager",4,14118,22102,3,"No",12,3,3,80,1,32,3,2,1,0,0,0,-0.0649480411143148,0.861448928480968,"Search Firm"
"426",50,0,"Travel_Rarely",1099,"Research & Development",29,4,"Life Sciences",569,2,"Male",88,2,4,"Manager",3,17046,9314,0,"No",15,3,2,80,1,28,2,3,27,10,15,7,NA,NA,NA
"427",30,0,"Non-Travel",1116,"Research & Development",2,3,"Medical",571,3,"Female",49,3,1,"Laboratory Technician",4,2564,7181,0,"No",14,2,3,80,0,12,2,2,11,7,6,7,NA,NA,NA
"428",60,0,"Travel_Frequently",1499,"Sales",28,3,"Marketing",573,3,"Female",80,2,3,"Sales Executive",1,10266,2845,4,"No",19,4,4,80,0,22,5,4,18,13,13,11,1.38569687114141,NA,NA
"429",47,0,"Travel_Rarely",983,"Research & Development",2,2,"Medical",574,1,"Female",65,3,2,"Manufacturing Director",4,5070,7389,5,"No",13,4,3,80,3,20,2,3,5,0,0,4,NA,0.707450769143179,"Campus"
"430",46,0,"Travel_Rarely",1009,"Research & Development",2,3,"Life Sciences",575,1,"Male",51,3,4,"Research Director",3,17861,2288,6,"No",13,4,3,80,0,26,2,1,3,2,0,1,NA,0.236704149283469,"Applied Online"
"431",35,0,"Travel_Rarely",144,"Research & Development",22,3,"Life Sciences",577,4,"Male",46,1,1,"Laboratory Technician",3,4230,19225,0,"No",15,3,3,80,0,6,2,3,5,4,4,3,NA,0.519810415804386,"Campus"
"432",54,0,"Travel_Rarely",548,"Research & Development",8,4,"Life Sciences",578,3,"Female",42,3,2,"Laboratory Technician",3,3780,23428,7,"No",11,3,3,80,0,19,3,3,1,0,0,0,NA,0.0462719032075256,"Applied Online"
"433",34,0,"Travel_Rarely",1303,"Research & Development",2,4,"Life Sciences",579,4,"Male",62,2,1,"Research Scientist",3,2768,8416,3,"No",12,3,3,80,1,14,3,3,7,3,5,7,NA,NA,NA
"434",46,0,"Travel_Rarely",1125,"Sales",10,3,"Marketing",580,3,"Female",94,2,3,"Sales Executive",4,9071,11563,2,"Yes",19,3,3,80,1,15,3,3,3,2,1,2,2.0488292613438,0.459650141652673,"Referral"
"435",31,0,"Travel_Rarely",1274,"Research & Development",9,1,"Life Sciences",581,3,"Male",33,3,3,"Manufacturing Director",2,10648,14394,1,"No",25,3,4,80,1,13,6,4,13,8,0,8,NA,NA,NA
"436",33,1,"Travel_Rarely",1277,"Research & Development",15,1,"Medical",582,2,"Male",56,3,3,"Manager",3,13610,24619,7,"Yes",12,3,4,80,0,15,2,4,7,6,7,7,NA,NA,NA
"437",33,1,"Travel_Rarely",587,"Research & Development",10,1,"Medical",584,1,"Male",38,1,1,"Laboratory Technician",4,3408,6705,7,"No",13,4,1,80,3,8,2,3,4,3,1,3,NA,0.990553342970088,"Referral"
"438",30,0,"Travel_Rarely",413,"Sales",7,1,"Marketing",585,4,"Male",57,3,1,"Sales Representative",2,2983,18398,0,"No",14,2,1,80,0,4,3,3,3,2,1,2,0.937444500510051,0.347380730556324,"Applied Online"
"439",35,0,"Travel_Rarely",1276,"Research & Development",16,3,"Life Sciences",586,4,"Male",72,3,3,"Healthcare Representative",3,7632,14295,4,"Yes",12,2,3,80,0,10,2,3,8,7,0,0,NA,NA,NA
"440",31,1,"Travel_Frequently",534,"Research & Development",20,3,"Life Sciences",587,1,"Male",66,3,3,"Healthcare Representative",3,9824,22908,3,"No",12,3,1,80,0,12,2,3,1,0,0,0,NA,0.209036038722843,"Applied Online"
"441",34,1,"Travel_Frequently",988,"Human Resources",23,3,"Human Resources",590,2,"Female",43,3,3,"Human Resources",1,9950,11533,9,"Yes",15,4,3,80,3,11,2,3,3,2,0,2,NA,0.313432076014578,"Applied Online"
"442",42,0,"Travel_Frequently",1474,"Research & Development",5,2,"Other",591,2,"Male",97,3,1,"Laboratory Technician",3,2093,9260,4,"No",17,2,4,80,1,8,4,3,2,2,2,0,NA,0.426988531835377,"Referral"
"443",36,0,"Non-Travel",635,"Sales",10,4,"Medical",592,2,"Male",32,3,3,"Sales Executive",4,9980,15318,1,"No",14,4,4,80,0,10,3,2,10,3,9,7,1.28815346741858,NA,NA
"444",22,1,"Travel_Frequently",1368,"Research & Development",4,1,"Technical Degree",593,3,"Male",99,2,1,"Laboratory Technician",3,3894,9129,5,"No",16,3,3,80,0,4,3,3,2,2,1,2,NA,0.615388402249664,"Applied Online"
"445",48,0,"Travel_Rarely",163,"Sales",2,5,"Marketing",595,2,"Female",37,3,2,"Sales Executive",4,4051,19658,2,"No",14,3,1,80,1,14,2,3,9,7,6,7,1.53516822071195,NA,NA
"446",55,0,"Travel_Rarely",1117,"Sales",18,5,"Life Sciences",597,1,"Female",83,3,4,"Manager",2,16835,9873,3,"No",23,2,4,80,0,37,2,3,10,9,7,7,0.64140894016283,NA,NA
"447",41,0,"Non-Travel",267,"Sales",10,2,"Life Sciences",599,4,"Male",56,3,2,"Sales Executive",4,6230,13430,7,"No",14,3,4,80,0,16,3,3,14,3,1,10,1.69439396441414,NA,NA
"448",35,0,"Travel_Rarely",619,"Sales",1,3,"Marketing",600,2,"Male",85,3,2,"Sales Executive",3,4717,18659,9,"No",11,4,3,80,0,15,2,3,11,9,6,9,1.73897372685774,NA,NA
"449",40,0,"Travel_Rarely",302,"Research & Development",6,3,"Life Sciences",601,2,"Female",75,3,4,"Manufacturing Director",3,13237,20364,7,"No",15,3,3,80,0,22,3,3,20,6,5,13,NA,NA,NA
"450",39,0,"Travel_Frequently",443,"Research & Development",8,1,"Life Sciences",602,3,"Female",48,3,1,"Laboratory Technician",3,3755,17872,1,"No",11,2,1,80,1,8,3,3,8,3,0,7,NA,NA,NA
"451",31,0,"Travel_Rarely",828,"Sales",2,1,"Life Sciences",604,2,"Male",77,3,2,"Sales Executive",4,6582,8346,4,"Yes",13,4,3,80,0,10,2,4,6,5,0,5,1.38200928962697,0.87563409586437,"Referral"
"452",42,0,"Travel_Rarely",319,"Research & Development",24,3,"Medical",605,4,"Male",56,3,3,"Manufacturing Director",1,7406,6950,1,"Yes",21,2,4,80,1,10,5,2,10,9,5,8,NA,NA,NA
"453",45,0,"Travel_Rarely",561,"Sales",2,3,"Other",606,4,"Male",61,3,2,"Sales Executive",2,4805,16177,0,"No",19,1,2,80,1,9,3,4,8,7,3,7,1.23149868718208,NA,NA
"454",26,1,"Travel_Frequently",426,"Human Resources",17,4,"Life Sciences",608,2,"Female",58,3,1,"Human Resources",3,2741,22808,0,"Yes",11,2,2,80,1,8,2,2,7,7,1,0,NA,NA,NA
"455",29,0,"Travel_Rarely",232,"Research & Development",19,3,"Technical Degree",611,4,"Male",34,3,2,"Manufacturing Director",4,4262,22645,4,"No",12,3,2,80,2,8,2,4,3,2,1,2,NA,0.370249080704525,"Applied Online"
"456",33,0,"Travel_Rarely",922,"Research & Development",1,5,"Medical",612,1,"Female",95,4,4,"Research Director",3,16184,22578,4,"No",19,3,3,80,1,10,2,3,6,1,0,5,NA,0.220282326452434,"Applied Online"
"457",31,0,"Travel_Rarely",688,"Sales",7,3,"Life Sciences",613,3,"Male",44,2,3,"Manager",4,11557,25291,9,"No",21,3,3,80,1,10,3,2,5,4,0,1,0.49347593805064,0.690487529151142,"Campus"
"458",18,1,"Travel_Frequently",1306,"Sales",5,3,"Marketing",614,2,"Male",69,3,1,"Sales Representative",2,1878,8059,1,"Yes",14,3,4,80,0,0,3,3,0,0,0,0,1.0607289437804,0.981798128923401,"Referral"
"459",40,0,"Non-Travel",1094,"Sales",28,3,"Other",615,3,"Male",58,1,3,"Sales Executive",1,10932,11373,3,"No",15,3,3,80,1,20,2,3,1,0,0,1,1.10428197388851,0.354876836761832,"Applied Online"
"460",41,0,"Non-Travel",509,"Research & Development",2,4,"Other",616,1,"Female",62,2,2,"Healthcare Representative",3,6811,2112,2,"Yes",17,3,1,80,0,10,3,3,8,7,0,7,NA,NA,NA
"461",26,0,"Travel_Rarely",775,"Sales",29,2,"Medical",618,1,"Male",45,3,2,"Sales Executive",3,4306,4267,5,"No",12,2,1,80,2,8,5,3,0,0,0,0,2.17689962110926,0.0428286602254957,"Applied Online"
"462",35,0,"Travel_Rarely",195,"Sales",1,3,"Medical",620,1,"Female",80,3,2,"Sales Executive",3,4859,6698,1,"No",16,4,4,80,0,5,3,3,5,4,0,3,0.216156753854101,0.729700040305033,"Campus"
"463",34,0,"Travel_Rarely",258,"Sales",21,4,"Life Sciences",621,4,"Male",74,4,2,"Sales Executive",4,5337,19921,1,"No",12,3,4,80,0,10,3,3,10,7,5,7,1.07061397365454,NA,NA
"464",26,1,"Travel_Rarely",471,"Research & Development",24,3,"Technical Degree",622,3,"Male",66,1,1,"Laboratory Technician",4,2340,23213,1,"Yes",18,4,2,80,0,1,3,1,1,0,0,0,NA,0.882823811145499,"Search Firm"
"465",37,0,"Travel_Rarely",799,"Research & Development",1,3,"Technical Degree",623,2,"Female",59,3,3,"Manufacturing Director",4,7491,23848,4,"No",17,3,4,80,0,12,3,4,6,5,1,2,NA,0.666443058056757,"Campus"
"466",46,0,"Travel_Frequently",1034,"Research & Development",18,1,"Medical",624,1,"Female",86,3,3,"Healthcare Representative",3,10527,8984,5,"No",11,2,4,80,0,28,3,2,2,2,1,2,NA,0.438919984269887,"Applied Online"
"467",41,0,"Travel_Rarely",1276,"Sales",2,5,"Life Sciences",625,2,"Female",91,3,4,"Manager",1,16595,5626,7,"No",16,5,2,80,1,22,2,3,18,16,11,8,1.17720772812414,NA,NA
"468",37,0,"Non-Travel",142,"Sales",9,4,"Medical",626,1,"Male",69,3,3,"Sales Executive",2,8834,24666,1,"No",13,2,4,80,1,9,6,3,9,5,7,7,1.22805312976677,NA,NA
"469",52,0,"Travel_Rarely",956,"Research & Development",6,2,"Technical Degree",630,4,"Male",78,3,2,"Research Scientist",1,5577,22087,3,"Yes",12,4,2,80,2,18,3,3,10,9,6,9,NA,NA,NA
"470",32,1,"Non-Travel",1474,"Sales",11,4,"Other",631,4,"Male",60,4,2,"Sales Executive",3,4707,23914,8,"No",12,3,4,80,0,6,2,3,4,2,1,2,0.355827084485607,0.151382981101051,"Applied Online"
"471",24,0,"Travel_Frequently",535,"Sales",24,3,"Medical",632,4,"Male",38,3,1,"Sales Representative",4,2400,5530,0,"No",13,3,3,80,2,3,3,3,2,2,2,1,1.16150316385026,0.732743345899507,"Campus"
"472",38,0,"Travel_Rarely",1495,"Research & Development",10,3,"Medical",634,3,"Female",76,3,2,"Healthcare Representative",3,9824,22174,3,"No",19,2,3,80,1,18,4,3,1,0,0,0,NA,0.570502207847312,"Campus"
"473",37,0,"Travel_Rarely",446,"Research & Development",1,4,"Life Sciences",635,2,"Female",65,3,2,"Manufacturing Director",2,6447,15701,6,"No",12,4,2,80,1,8,2,2,6,5,4,3,NA,0.209125354187563,"Applied Online"
"474",49,0,"Travel_Rarely",1245,"Research & Development",18,4,"Life Sciences",638,4,"Male",58,2,5,"Research Director",3,19502,2125,1,"Yes",17,3,3,80,1,31,5,3,31,9,0,9,NA,NA,NA
"475",24,0,"Travel_Rarely",691,"Research & Development",23,3,"Medical",639,2,"Male",89,4,1,"Research Scientist",4,2725,21630,1,"Yes",11,2,2,80,2,6,3,3,6,5,1,4,NA,0.255704160546884,"Applied Online"
"476",26,0,"Travel_Rarely",703,"Sales",28,2,"Marketing",641,1,"Male",66,3,2,"Sales Executive",2,6272,7428,1,"No",20,4,4,80,2,6,5,4,5,3,1,4,2.77107384180857,0.124836937058717,"Applied Online"
"477",24,0,"Travel_Rarely",823,"Research & Development",17,2,"Other",643,4,"Male",94,2,1,"Laboratory Technician",2,2127,9100,1,"No",21,3,4,80,1,1,2,3,1,0,0,0,NA,0.960780262248591,"Referral"
"478",50,0,"Travel_Frequently",1246,"Human Resources",3,3,"Medical",644,1,"Male",99,3,5,"Manager",2,18200,7999,1,"No",11,3,3,80,1,32,2,3,32,5,10,7,NA,NA,NA
"479",25,0,"Travel_Rarely",622,"Sales",13,1,"Medical",645,2,"Male",40,3,1,"Sales Representative",3,2096,26376,1,"No",11,2,3,80,0,7,1,3,7,4,0,6,2.4611056076574,NA,NA
"480",24,1,"Travel_Frequently",1287,"Research & Development",7,3,"Life Sciences",647,1,"Female",55,3,1,"Laboratory Technician",3,2886,14168,1,"Yes",16,4,4,80,1,6,4,3,6,3,1,2,NA,0.899190290132537,"Campus"
"481",30,1,"Travel_Frequently",448,"Sales",12,4,"Life Sciences",648,2,"Male",74,2,1,"Sales Representative",1,2033,14470,1,"No",18,3,3,80,1,1,2,4,1,0,0,0,0.935256113702171,0.723099847789854,"Campus"
"482",34,0,"Travel_Rarely",254,"Research & Development",1,2,"Life Sciences",649,2,"Male",83,2,1,"Research Scientist",4,3622,22794,1,"Yes",13,3,4,80,1,6,3,3,6,5,1,3,NA,0.210826282855123,"Applied Online"
"483",31,1,"Travel_Rarely",1365,"Sales",13,4,"Medical",650,2,"Male",46,3,2,"Sales Executive",1,4233,11512,2,"No",17,4,3,80,0,9,2,1,3,1,1,2,0.0488590327194385,0.639592608669773,"Campus"
"484",35,0,"Travel_Rarely",538,"Research & Development",25,2,"Other",652,1,"Male",54,2,2,"Laboratory Technician",4,3681,14004,4,"No",14,3,4,80,0,9,3,3,3,2,0,2,NA,0.109219409991056,"Applied Online"
"485",31,0,"Travel_Rarely",525,"Sales",6,4,"Medical",653,1,"Male",66,4,2,"Sales Executive",4,5460,6219,4,"No",22,2,4,80,2,13,4,4,7,7,5,7,1.6229231930248,NA,NA
"486",27,0,"Travel_Rarely",798,"Research & Development",6,4,"Medical",655,1,"Female",66,2,1,"Research Scientist",3,2187,5013,0,"No",12,3,3,80,2,6,5,2,5,3,0,3,NA,0.789798185694963,"Campus"
"487",37,0,"Travel_Rarely",558,"Sales",2,3,"Marketing",656,4,"Male",75,3,2,"Sales Executive",3,9602,3010,4,"Yes",11,3,3,80,1,17,3,2,3,0,1,0,0.366818273711966,0.845835699466988,"Campus"
"488",20,0,"Travel_Rarely",959,"Research & Development",1,3,"Life Sciences",657,4,"Female",83,2,1,"Research Scientist",2,2836,11757,1,"No",13,2,4,80,0,1,0,4,1,0,0,0,NA,0.605984640773386,"Campus"
"489",42,0,"Travel_Rarely",622,"Research & Development",2,4,"Life Sciences",659,3,"Female",81,3,2,"Healthcare Representative",4,4089,5718,1,"No",13,2,2,80,2,10,4,3,10,2,2,2,NA,NA,NA
"490",43,0,"Travel_Rarely",782,"Research & Development",6,4,"Other",661,2,"Male",50,2,4,"Research Director",4,16627,2671,4,"Yes",14,3,3,80,1,21,3,2,1,0,0,0,NA,0.855559124378487,"Campus"
"491",38,0,"Travel_Rarely",362,"Research & Development",1,1,"Life Sciences",662,3,"Female",43,3,1,"Research Scientist",1,2619,14561,3,"No",17,3,4,80,0,8,3,2,0,0,0,0,NA,0.951585045550019,"Referral"
"492",43,0,"Travel_Frequently",1001,"Research & Development",9,5,"Medical",663,4,"Male",72,3,2,"Laboratory Technician",3,5679,19627,3,"Yes",13,3,2,80,1,10,3,3,8,7,4,7,NA,NA,NA
"493",48,0,"Travel_Rarely",1236,"Research & Development",1,4,"Life Sciences",664,4,"Female",40,2,4,"Manager",1,15402,17997,7,"No",11,4,1,80,1,21,3,1,3,2,0,2,NA,0.859894786495715,"Campus"
"494",44,0,"Travel_Rarely",1112,"Human Resources",1,4,"Life Sciences",665,1,"Female",50,2,2,"Human Resources",3,5985,26894,4,"No",11,3,2,80,0,10,1,4,2,2,0,2,NA,0.185909613501281,"Applied Online"
"495",34,0,"Travel_Rarely",204,"Sales",14,3,"Technical Degree",666,3,"Female",31,3,1,"Sales Representative",3,2579,2912,1,"Yes",18,2,4,80,2,8,3,3,8,2,0,6,1.48339106487275,NA,NA
"496",27,1,"Travel_Rarely",1420,"Sales",2,1,"Marketing",667,3,"Male",85,3,1,"Sales Representative",1,3041,16346,0,"No",11,3,2,80,1,5,3,3,4,3,0,2,1.1744855509706,0.0109757257159799,"Applied Online"
"497",21,0,"Travel_Rarely",1343,"Sales",22,1,"Technical Degree",669,3,"Male",49,3,1,"Sales Representative",3,3447,24444,1,"No",11,4,3,80,0,3,2,3,3,2,1,2,-0.016602115712139,0.441877980018035,"Applied Online"
"498",44,0,"Travel_Rarely",1315,"Research & Development",3,4,"Other",671,4,"Male",35,3,5,"Manager",4,19513,9358,4,"Yes",12,3,1,80,1,26,2,4,2,2,0,1,NA,0.883726344676688,"Campus"
"499",22,0,"Travel_Rarely",604,"Research & Development",6,1,"Medical",675,1,"Male",69,3,1,"Research Scientist",3,2773,12145,0,"No",20,2,4,80,0,3,3,3,2,2,2,2,NA,0.0347993206232786,"Applied Online"
"500",33,0,"Travel_Rarely",1216,"Sales",8,4,"Marketing",677,3,"Male",39,3,2,"Sales Executive",3,7104,20431,0,"No",12,2,4,80,0,6,3,3,5,0,1,2,0.942639117913963,0.287787911482155,"Applied Online"
"501",32,0,"Travel_Rarely",646,"Research & Development",9,4,"Life Sciences",679,1,"Female",92,3,2,"Research Scientist",4,6322,18089,1,"Yes",12,3,4,80,1,6,2,2,6,4,0,5,NA,0.917690490139648,"Referral"
"502",30,0,"Travel_Frequently",160,"Research & Development",3,3,"Medical",680,3,"Female",71,3,1,"Research Scientist",3,2083,22653,1,"No",20,2,3,80,1,1,2,3,1,0,0,0,NA,0.196597029455006,"Applied Online"
"503",53,0,"Travel_Rarely",238,"Sales",1,1,"Medical",682,4,"Female",34,3,2,"Sales Executive",1,8381,7507,7,"No",20,3,4,80,0,18,2,4,14,7,8,10,0.343975910019516,NA,NA
"504",34,0,"Travel_Rarely",1397,"Research & Development",1,5,"Life Sciences",683,2,"Male",42,3,1,"Research Scientist",4,2691,7660,1,"No",12,3,4,80,1,10,4,2,10,9,8,8,NA,NA,NA
"505",45,1,"Travel_Frequently",306,"Sales",26,4,"Life Sciences",684,1,"Female",100,3,2,"Sales Executive",1,4286,5630,2,"No",14,3,4,80,2,5,4,3,1,1,0,0,0.70550789090828,0.941663881530985,"Referral"
"506",26,0,"Travel_Rarely",991,"Research & Development",6,3,"Life Sciences",686,3,"Female",71,3,1,"Laboratory Technician",4,2659,17759,1,"Yes",13,4,3,80,1,3,2,3,3,2,0,2,NA,0.826737243914977,"Campus"
"507",37,0,"Travel_Rarely",482,"Research & Development",3,3,"Other",689,3,"Male",36,3,3,"Manufacturing Director",3,9434,9606,1,"No",15,4,3,80,1,10,2,3,10,7,7,8,NA,NA,NA
"508",29,0,"Travel_Rarely",1176,"Sales",3,2,"Medical",690,2,"Female",62,3,2,"Sales Executive",3,5561,3487,1,"No",14,3,1,80,1,6,5,2,6,0,1,2,1.73534442229407,0.688975232187659,"Campus"
"509",35,0,"Travel_Rarely",1017,"Research & Development",6,4,"Life Sciences",691,2,"Male",82,1,2,"Research Scientist",4,6646,19368,1,"No",13,4,2,80,0,17,3,3,17,11,11,8,NA,NA,NA
"510",33,0,"Travel_Frequently",1296,"Research & Development",6,3,"Life Sciences",692,3,"Male",30,3,2,"Healthcare Representative",4,7725,5335,3,"No",23,4,3,80,1,15,2,1,13,11,4,7,NA,NA,NA
"511",54,0,"Travel_Rarely",397,"Human Resources",19,4,"Medical",698,3,"Male",88,3,3,"Human Resources",2,10725,6729,2,"No",15,2,3,80,1,16,1,4,9,7,7,1,NA,NA,NA
"512",36,0,"Travel_Rarely",913,"Research & Development",9,2,"Medical",699,2,"Male",48,2,2,"Manufacturing Director",2,8847,13934,2,"Yes",11,3,3,80,1,13,2,3,3,2,0,2,NA,0.965675723040476,"Referral"
"513",27,0,"Travel_Rarely",1115,"Research & Development",3,4,"Medical",700,1,"Male",54,2,1,"Research Scientist",4,2045,15174,0,"No",13,3,4,80,0,5,0,3,4,2,1,1,NA,0.152865736978129,"Applied Online"
"514",20,1,"Travel_Rarely",1362,"Research & Development",10,1,"Medical",701,4,"Male",32,3,1,"Research Scientist",3,1009,26999,1,"Yes",11,3,4,80,0,1,5,3,1,0,1,1,NA,0.67842087848112,"Applied Online"
"515",33,1,"Travel_Frequently",1076,"Research & Development",3,3,"Life Sciences",702,1,"Male",70,3,1,"Research Scientist",1,3348,3164,1,"Yes",11,3,1,80,0,10,3,3,10,8,9,7,NA,NA,NA
"516",35,0,"Non-Travel",727,"Research & Development",3,3,"Life Sciences",704,3,"Male",41,2,1,"Laboratory Technician",3,1281,16900,1,"No",18,4,3,80,2,1,3,3,1,0,0,0,NA,0.362754970556125,"Applied Online"
"517",23,0,"Travel_Rarely",885,"Research & Development",4,3,"Medical",705,1,"Male",58,4,1,"Research Scientist",1,2819,8544,2,"No",16,3,1,80,1,5,3,4,3,2,0,2,NA,0.515847061062232,"Campus"
"518",25,0,"Travel_Rarely",810,"Sales",8,3,"Life Sciences",707,4,"Male",57,4,2,"Sales Executive",2,4851,15678,0,"No",22,3,3,80,1,4,4,3,3,2,1,2,1.9173769941731,0.519123180303723,"Campus"
"519",38,0,"Travel_Rarely",243,"Sales",7,4,"Marketing",709,4,"Female",46,2,2,"Sales Executive",4,4028,7791,0,"No",20,3,1,80,0,8,2,3,7,7,0,5,1.00333662973838,NA,NA
"520",29,0,"Travel_Frequently",806,"Research & Development",1,4,"Life Sciences",710,2,"Male",76,1,1,"Research Scientist",4,2720,18959,1,"No",18,3,4,80,1,10,5,3,10,7,2,8,NA,NA,NA
"521",48,0,"Travel_Rarely",817,"Sales",2,1,"Marketing",712,2,"Male",56,4,2,"Sales Executive",2,8120,18597,3,"No",12,2,4,80,0,12,3,3,2,2,2,2,1.82321614508823,0.286720748990774,"Applied Online"
"522",27,0,"Travel_Frequently",1410,"Sales",3,1,"Medical",714,4,"Female",71,4,2,"Sales Executive",4,4647,16673,1,"Yes",20,3,2,80,2,6,3,3,6,5,0,4,0.580933906156899,0.10277850064449,"Applied Online"
